trial,generation,size,runtime,profit
0,0,20,1877,4215.343912389574
0,1,20,1234,4215.343912389574
0,2,20,2092,4528.633807509779
0,3,19,2636,4534.105277922389
0,4,19,3345,4534.105277922389
0,5,20,2447,4645.982900589795
0,6,17,4000,4694.689249876223
0,7,16,4929,4813.950793097303
0,8,20,5947,4851.363528248004
0,9,20,6325,4869.542186266521
0,10,20,3271,4893.444773536521
0,11,19,6205,4907.258970908274
0,12,20,6596,4928.502064885383
0,13,20,7904,4928.996198416521
0,14,20,9716,4928.996198416521
0,15,20,10253,4931.201315365383
0,16,20,10364,4931.201315365383
0,17,20,10649,4932.255353900004
0,18,20,11256,4932.255353900004
0,19,20,11244,4932.321189872004
0,20,20,11665,4933.991896700003
0,21,20,10425,4933.991896700003
0,22,20,9924,4933.991896700003
0,23,20,11044,4933.991896700003
0,24,20,10800,4933.906734650002
0,25,20,10748,4933.906734650002
0,26,20,11503,4933.906734650002
0,27,20,11357,4933.906734650002
0,28,20,11054,4933.906734650002
0,29,20,10443,4933.906734650002
1,0,20,1418,3412.280860141763
2,0,20,1541,3976.715694141662
2,1,20,1412,4216.096327593533
2,2,20,1450,4216.092029207857
2,3,15,1836,4641.2231707400015
2,4,16,2345,4724.389329316254
2,5,17,2498,4815.924256647053
2,6,19,2471,4864.413766942538
2,7,18,4009,4882.948333902053
2,8,18,5484,4883.934773772053
2,9,20,6716,4910.487271251803
2,10,20,7866,4922.280584998252
2,11,20,9030,4927.078718500103
2,12,20,9040,4927.078718500103
2,13,20,8814,4931.37346645923
2,14,20,9722,4931.37346645923
2,15,20,10301,4931.37346645923
2,16,20,9427,4932.340515950003
2,17,20,9918,4932.340515950003
2,18,20,10301,4933.991896700002
2,19,20,9993,4933.991896700002
2,20,20,10594,4933.991896700002
2,21,20,10527,4933.991896700002
2,22,20,10720,4933.991896700002
2,23,20,10667,4933.991896700002
2,24,20,11183,4933.991896700002
2,25,20,10490,4933.9876243325025
2,26,20,11001,4933.9876243325025
2,27,20,11274,4933.9876243325025
2,28,20,9841,4934.092766009003
2,29,20,10566,4934.213258252003
3,0,20,1751,3976.715694141662
3,1,20,1504,4348.090624235143
3,2,20,1044,4348.090624235143
3,3,16,2276,4476.654941555699
3,4,16,2525,4476.654941555699
3,5,14,3253,4573.565204000003
3,6,20,3335,4774.346148858113
3,7,20,3862,4774.346148858113
3,8,20,4540,4831.020082584263
3,9,20,5147,4831.020082584263
3,10,19,7331,4928.438532200004
3,11,19,7776,4928.438532200004
3,12,19,8392,4928.438532200004
3,13,19,8336,4928.438532200004
3,14,20,7154,4930.571149700004
3,15,20,7096,4930.571149700004
3,16,20,7605,4930.571149700004
3,17,20,8349,4930.571149700004
3,18,20,7843,4930.571149700004
3,19,20,8325,4933.991896700003
3,20,20,8234,4933.991896700003
3,21,20,8446,4933.991896700003
3,22,20,8312,4933.991896700003
3,23,20,8915,4933.991896700003
3,24,20,8331,4933.991896700003
3,25,20,9113,4933.991896700003
3,26,20,9092,4933.991896700003
3,27,20,9315,4933.991896700003
3,28,20,9667,4933.991896700003
3,29,20,9190,4933.991896700003
4,0,20,1779,3976.715694141662
4,1,20,1290,4216.5084374043045
4,2,20,1600,4528.633807509779
4,3,20,2167,4528.633807509779
4,4,17,2794,4647.7699496782725
4,5,18,2658,4748.783076179017
4,6,20,4489,4791.220249922823
4,7,19,5703,4831.7097952827535
4,8,19,6308,4877.961114865055
4,9,18,7600,4892.468741528272
4,10,19,6526,4903.387859597177
4,11,19,7693,4911.716291108273
4,12,20,8841,4922.670136235001
4,13,19,9628,4926.583917140452
4,14,20,9135,4928.735406325778
4,15,20,9360,4928.735406325778
4,16,20,9940,4930.571149700003
4,17,20,10404,4932.4559913500025
4,18,20,10079,4932.4559913500025
4,19,20,10607,4933.447869603204
4,20,20,10636,4933.447869603204
4,21,20,10500,4933.991896700004
4,22,20,11074,4933.906734650004
4,23,20,10376,4933.9901709950045
4,24,20,10564,4933.9901709950045
4,25,20,10905,4933.9901709950045
4,26,20,11368,4934.124847220004
4,27,20,11277,4934.124847220004
4,28,20,12467,4934.124847220004
4,29,20,11426,4934.180380865004
5,0,20,2371,4215.343912389574
5,1,20,1726,4215.343912389574
5,2,20,1763,4217.770406580557
5,3,20,2260,4474.098450712888
5,4,20,2460,4593.4675890026065
5,5,20,2911,4680.634288554425
5,6,15,2942,4722.172961000003
5,7,17,4207,4843.767588800002
5,8,19,5765,4887.774015577785
5,9,19,6711,4887.774015577785
5,10,19,7021,4898.982536896994
5,11,19,7531,4904.160892287479
5,12,20,7897,4918.521925400002
5,13,20,9956,4921.829109023004
5,14,18,10380,4922.033547200002
5,15,19,8513,4928.438532200004
5,16,20,9628,4933.991896700004
5,17,20,10387,4933.991896700004
5,18,20,10610,4933.991896700004
5,19,20,10026,4933.991896700004
5,20,20,10522,4933.991896700004
5,21,20,10753,4933.991896700004
5,22,20,11182,4933.991896700004
5,23,20,10729,4933.991896700004
5,24,20,11608,4933.991896700004
5,25,20,11388,4933.991896700004
5,26,20,10839,4933.991896700004
5,27,20,10992,4934.524088345004
5,28,20,10915,4934.524088345004
5,29,20,9844,4934.524088345004
6,0,13,1676,3394.7432356509516
7,0,20,1475,4043.2083769369733
7,1,20,1591,4446.704593248739
7,2,16,1745,4456.868316346223
7,3,20,1595,4550.878532047845
7,4,20,2630,4781.067902054399
7,5,20,2615,4781.067902054399
7,6,20,3657,4781.067902054399
7,7,20,4924,4826.659129092835
7,8,19,6446,4839.002576314572
7,9,20,6669,4865.462497412661
7,10,19,6851,4873.555974650001
7,11,19,6891,4873.555974650001
7,12,20,7941,4904.2608873980025
7,13,20,8249,4912.391613342924
