trial,generation,size,runtime,profit
0,0,10,343,3353.022557060001
0,1,10,136,3353.022557060001
0,2,14,158,3876.9014931999995
0,3,11,344,4190.445977000003
0,4,18,617,4340.943569835502
0,5,20,882,4743.235273697604
0,6,18,1368,4743.439429473498
0,7,17,1688,4883.873193954502
0,8,17,1977,4883.873193954502
0,9,17,2637,4911.073104200002
0,10,17,4322,4911.073104200002
0,11,20,5114,4924.133838500004
0,12,20,4900,4929.719529200002
0,13,20,5654,4933.991896700003
0,14,20,5617,4933.991896700003
0,15,20,6182,4933.991896700003
0,16,20,6890,4933.991896700003
0,17,20,6944,4933.991896700003
0,18,20,6965,4933.991896700003
0,19,20,8080,4933.991896700003
0,20,20,7264,4933.991896700003
0,21,20,7617,4933.991896700003
0,22,20,7776,4933.991896700003
0,23,20,6532,4933.991896700003
0,24,20,6881,4933.991896700003
0,25,20,6532,4933.991896700003
0,26,20,7631,4933.991896700003
0,27,20,7405,4933.991896700003
0,28,20,7039,4933.991896700003
0,29,20,7623,4933.991896700003
1,0,4,138,2604.200000000001
1,1,15,53,3834.909923041402
1,2,15,136,4333.330641740003
1,3,15,261,4333.330641740003
1,4,16,361,4334.309115724403
1,5,19,645,4725.698564808503
1,6,20,1168,4929.540917000005
1,7,20,1679,4929.540917000005
1,8,19,2428,4921.440999080003
1,9,20,3334,4929.540917000005
1,10,20,4276,4929.540917000005
1,11,20,5377,4929.540917000005
1,12,20,5197,4929.540917000005
1,13,20,5840,4933.991896700004
1,14,20,5747,4933.991896700004
1,15,20,6541,4933.991896700004
1,16,20,6717,4933.991896700004
1,17,20,6706,4933.991896700004
1,18,20,6303,4933.991896700004
1,19,20,6382,4933.991896700004
1,20,20,4978,4933.991896700004
1,21,20,5476,4933.991896700004
1,22,20,7176,4933.991896700004
1,23,20,7194,4933.991896700004
1,24,20,6883,4933.991896700004
1,25,20,6765,4933.991896700004
1,26,20,7632,4933.991896700004
1,27,20,6932,4933.991896700004
1,28,20,6104,4933.991896700004
1,29,20,6655,4933.991896700004
2,0,6,115,2658.3800000000006
2,1,8,119,3346.5133832000015
2,2,10,236,4177.567976000002
2,3,15,333,4333.261770270502
2,4,15,577,4433.123116407653
2,5,15,1009,4433.123116407653
2,6,20,1148,4699.599933273982
2,7,19,1312,4709.42239135618
2,8,20,1621,4865.798628345234
2,9,20,1713,4878.8179028600025
2,10,20,2389,4878.8179028600025
2,11,20,3152,4878.8179028600025
2,12,19,3509,4928.438532200003
2,13,19,4274,4928.438532200003
2,14,19,5471,4928.438532200003
2,15,19,6028,4928.438532200003
2,16,20,5962,4933.991896700003
2,17,20,6938,4933.991896700003
2,18,20,7151,4933.991896700003
2,19,20,6459,4933.991896700003
2,20,20,6931,4933.991896700003
2,21,20,8608,4933.991896700003
2,22,20,9066,4933.991896700003
2,23,20,8134,4933.991896700003
2,24,20,7832,4933.991896700003
2,25,20,10189,4933.991896700003
2,26,20,9878,4933.991896700003
2,27,20,10647,4933.991896700003
2,28,20,10979,4933.991896700003
2,29,20,10725,4933.991896700003
3,0,9,87,3281.3699900000015
3,1,19,59,3381.7856689319015
3,2,14,199,4059.807112976735
3,3,18,375,4188.723794178379
3,4,20,748,4783.007203700004
3,5,20,823,4783.007203700004
3,6,20,1248,4783.007203700004
3,7,20,1801,4872.509115724402
3,8,20,1775,4872.509115724402
3,9,20,2197,4927.586911700002
3,10,19,3185,4924.166164700004
3,11,20,4460,4927.586911700002
3,12,20,5219,4930.571149700004
3,13,20,6315,4930.571149700004
3,14,20,6592,4930.571149700004
3,15,20,6546,4930.571149700004
3,16,20,8216,4930.571149700004
3,17,20,7763,4930.571149700004
3,18,20,7210,4930.571149700004
3,19,20,7325,4930.571149700004
3,20,20,7066,4930.571149700004
3,21,20,7620,4930.571149700004
3,22,20,7200,4933.991896700003
3,23,20,5796,4933.991896700003
3,24,20,6992,4933.991896700003
3,25,20,7601,4933.991896700003
3,26,20,7750,4933.991896700003
3,27,20,7489,4933.991896700003
3,28,20,7470,4933.991896700003
3,29,20,7533,4933.991896700003
4,0,4,148,2604.200000000001
4,1,9,51,2783.7697755650006
4,2,12,92,3823.328365052002
4,3,18,165,4333.287909273982
4,4,20,348,4602.620462056933
4,5,20,682,4602.620462056933
4,6,20,1168,4656.014264756346
4,7,20,1408,4929.540917000004
4,8,20,1926,4929.540917000004
4,9,20,2315,4929.540917000004
4,10,20,2743,4928.542721060003
4,11,20,3382,4924.533217100003
4,12,20,4092,4929.540917000004
4,13,20,4712,4929.540917000004
4,14,20,5308,4929.540917000004
4,15,20,6064,4929.540917000004
4,16,20,6558,4933.991896700002
4,17,20,6093,4933.991896700002
4,18,20,6514,4933.991896700002
4,19,20,6814,4933.991896700003
4,20,20,7398,4933.991896700003
4,21,20,7518,4933.991896700003
4,22,20,6628,4933.991896700003
4,23,20,7476,4933.991896700003
4,24,20,8448,4933.991896700003
4,25,20,7733,4933.991896700003
4,26,20,7797,4933.991896700003
4,27,20,9280,4933.991896700003
4,28,20,8865,4933.991896700003
4,29,20,8886,4933.991896700003
5,0,4,138,2604.200000000001
5,1,9,48,3236.274950000001
5,2,10,128,3640.3749500000013
5,3,12,204,4326.601359200002
5,4,12,370,4326.601359200002
5,5,12,637,4543.880000000002
5,6,15,862,4849.613978000003
5,7,18,1013,4922.033547200003
5,8,18,1485,4922.033547200003
5,9,18,2900,4922.033547200003
5,10,19,3655,4923.031453700003
5,11,19,4146,4923.031453700003
5,12,20,5749,4933.991896700003
5,13,20,5799,4933.991896700003
5,14,20,6102,4933.991896700004
5,15,20,6030,4933.991896700004
5,16,20,6128,4933.991896700004
5,17,20,5621,4933.991896700004
5,18,20,6026,4933.991896700004
5,19,20,6439,4933.991896700004
5,20,20,6988,4933.991896700004
5,21,20,7580,4933.991896700004
5,22,20,8500,4933.991896700004
5,23,20,8406,4933.991896700004
5,24,20,9249,4933.991896700004
5,25,20,9288,4933.991896700004
5,26,20,9231,4933.991896700004
5,27,20,9760,4933.991896700004
5,28,20,10570,4933.991896700004
5,29,20,10190,4933.991896700004
6,0,4,135,2604.200000000001
6,1,12,158,3757.2737942705016
6,2,15,126,3757.299933273982
6,3,18,216,4333.287909273983
6,4,20,393,4759.154414960002
6,5,17,589,4889.115561200002
6,6,17,1142,4889.115561200002
6,7,17,1287,4889.115561200002
6,8,18,1808,4922.033547200002
6,9,18,2427,4922.033547200002
6,10,20,2841,4924.533217100004
6,11,20,3368,4928.542721060003
6,12,20,4159,4929.540917000002
6,13,20,4386,4929.540917000002
6,14,20,5130,4929.540917000004
6,15,20,4998,4929.540917000004
6,16,20,5168,4929.540917000004
6,17,20,5131,4929.540917000004
6,18,20,5194,4929.540917000004
6,19,20,5689,4929.540917000004
6,20,20,5571,4929.540917000004
6,21,20,6496,4929.540917000004
6,22,20,6010,4929.540917000004
6,23,20,6251,4929.540917000004
6,24,20,5907,4929.540917000003
6,25,20,5436,4933.991896700004
6,26,20,6397,4933.991896700004
6,27,20,4910,4933.991896700004
6,28,20,6310,4933.991896700004
6,29,20,6002,4933.991896700004
7,0,4,112,2604.200000000001
7,1,5,98,2647.1840000000007
7,2,9,200,3269.3558872865015
7,3,11,206,3692.6479760000016
7,4,11,265,4293.683373200003
7,5,20,462,4609.717902860004
7,6,18,931,4843.767588800002
7,7,18,1629,4843.767588800002
7,8,20,2185,4871.484275937082
7,9,20,3258,4871.484275937082
7,10,19,4468,4871.461770270504
7,11,20,5765,4924.533217100005
7,12,20,6332,4924.533217100005
7,13,20,6918,4924.533217100005
7,14,20,7061,4924.533217100005
7,15,20,7446,4924.533217100005
7,16,20,8227,4924.133838500004
7,17,20,7890,4929.719529200002
