trial,generation,size,runtime,profit
0,0,15,2118,4836.260219000003
0,1,15,2696,4836.260219000003
0,2,15,2197,4836.260219000003
0,3,16,2398,4878.155118200003
0,4,20,3190,4928.542721060003
0,5,20,4972,4928.542721060003
0,6,20,6129,4933.991896700003
0,7,20,7377,4933.991896700003
0,8,20,8021,4933.991896700003
0,9,20,8149,4933.991896700003
0,10,20,8348,4933.991896700003
0,11,20,8523,4933.991896700003
0,12,20,8221,4933.991896700003
0,13,20,7934,4933.991896700003
0,14,20,8182,4933.991896700003
0,15,20,7901,4933.991896700003
0,16,20,7842,4933.991896700003
0,17,20,8483,4933.991896700003
0,18,20,9202,4933.991896700003
0,19,20,8397,4933.991896700003
0,20,20,7499,4933.991896700003
0,21,20,7712,4933.991896700003
0,22,20,8039,4933.991896700003
0,23,20,8776,4933.991896700003
0,24,20,8714,4933.991896700003
0,25,20,8527,4933.991896700003
0,26,20,7766,4933.991896700003
0,27,20,8528,4933.991896700003
0,28,20,8505,4933.991896700003
0,29,20,8103,4933.991896700003
1,0,19,2355,4843.967975524403
1,1,20,2649,4872.509115724404
1,2,17,2329,4911.073104200003
1,3,19,3262,4928.4385322000035
1,4,19,4483,4928.4385322000035
1,5,20,6248,4933.991896700002
1,6,20,7097,4933.991896700002
1,7,20,8813,4933.991896700002
1,8,20,8024,4933.991896700002
1,9,20,8168,4933.991896700002
1,10,20,8151,4933.991896700002
1,11,20,7657,4933.991896700003
1,12,20,8811,4933.991896700003
1,13,20,7777,4933.991896700003
1,14,20,8180,4933.991896700003
1,15,20,7636,4933.991896700003
1,16,20,8796,4933.991896700003
1,17,20,7927,4933.991896700003
1,18,20,8092,4933.991896700003
1,19,20,8570,4933.991896700003
1,20,20,7796,4933.991896700003
1,21,20,7862,4933.991896700003
1,22,20,7897,4933.991896700003
1,23,20,8724,4933.991896700003
1,24,20,7933,4933.991896700003
1,25,20,8058,4933.991896700003
1,26,20,8186,4933.991896700003
1,27,20,8705,4933.991896700003
