trial,generation,size,runtime,profit
0,0,3,413,0.0
0,1,8,149,2377.2885140784765
0,2,6,60,2573.2711842857157
0,3,13,60,2602.3662902176216
0,4,8,122,2677.042949454547
0,5,12,242,2701.9220161023277
0,6,13,376,2685.581500601493
0,7,20,662,2715.4795012127624
0,8,13,710,2733.5270496774738
0,9,18,865,2907.3266520607417
0,10,13,1185,2874.458317317772
0,11,15,1248,2714.70296685441
0,12,15,1125,2714.70296685441
0,13,15,1275,2714.70296685441
0,14,16,1387,2854.0023159968136
0,15,16,1389,2854.0023159968136
0,16,16,1512,2854.0023159968136
0,17,19,1770,2991.0556578490687
0,18,19,2046,2991.317201355329
0,19,20,2233,2991.2874293566956
0,20,19,2171,2991.2430454319124
0,21,17,2444,2991.0868242779898
0,22,18,2312,2991.2695239042832
0,23,18,2362,2991.2695239042832
0,24,19,2435,2991.461894128712
0,25,19,2225,2991.461894128712
0,26,19,2234,2991.461894128712
0,27,20,1928,2991.479997969653
0,28,20,1993,2991.421765162135
0,29,20,1868,2991.421765162135
1,0,5,129,0.0
1,1,6,82,2465.5197617142862
1,2,10,58,2606.8547542034717
1,3,6,162,2465.5197617142862
1,4,9,89,2763.854441474085
1,5,7,187,2596.876924285716
1,6,9,282,2766.4614694839356
1,7,9,333,2766.4614694839356
1,8,9,331,2653.214375967274
1,9,9,500,2653.214375967274
1,10,9,554,2653.214375967274
1,11,18,823,2792.345395336226
1,12,18,1027,2792.345395336226
1,13,17,1371,2991.1219703490683
1,14,17,1634,2991.1219703490683
1,15,17,1825,2989.4704716252177
1,16,17,1808,2989.4704716252177
1,17,17,1744,2989.4704716252177
1,18,17,1870,2989.4704716252177
1,19,17,1752,2989.4704716252177
1,20,17,1929,2989.4704716252177
1,21,17,2127,2989.4704716252177
1,22,17,1939,2989.4704716252177
1,23,17,1966,2989.4704716252177
1,24,17,2069,2989.4704716252177
1,25,17,2130,2989.4704716252177
1,26,17,2212,2989.4704716252177
1,27,17,2143,2989.4704716252177
1,28,17,1814,2989.4704716252177
1,29,17,1952,2989.4704716252177
2,0,4,137,0.0
2,1,3,161,2097.7885714285717
2,2,8,42,2533.8899637428576
2,3,12,125,2670.643128019286
2,4,19,218,2758.9448672288627
2,5,9,388,2653.596742947274
2,6,9,588,2653.596742947274
2,7,9,767,2653.596742947274
2,8,12,1091,2830.933908758794
2,9,14,1110,2863.2827390925595
2,10,14,1350,2863.2827390925595
2,11,14,1961,2863.2827390925595
2,12,14,2230,2863.2827390925595
2,13,14,2159,2863.2827390925595
2,14,15,2553,2978.4823653857393
2,15,15,2927,2978.4823653857393
2,16,15,2537,2978.4823653857393
2,17,19,2550,2990.0944937177633
2,18,19,2633,2990.206187905351
2,19,18,2630,2990.2310341300263
2,20,18,2556,2990.2310341300263
2,21,18,2523,2990.2310341300263
2,22,18,2479,2990.2310341300263
2,23,18,2625,2990.2310341300263
2,24,18,2513,2990.2310341300263
2,25,18,2160,2990.2310341300263
2,26,19,2161,2990.2328403805077
2,27,19,2281,2990.2328403805077
2,28,19,2101,2990.2328403805077
2,29,19,2258,2990.2328403805077
3,0,8,161,2677.042949454547
3,1,8,73,2677.042949454547
3,2,18,131,2715.4939367838306
3,3,14,230,2748.224582383868
3,4,12,403,2713.9393953647564
3,5,12,488,2713.9393953647564
3,6,12,807,2713.9393953647564
3,7,12,1020,2713.9393953647564
3,8,12,1059,2713.9393953647564
3,9,12,1314,2713.9393953647564
3,10,12,1644,2713.9393953647564
3,11,12,1413,2713.9393953647564
3,12,12,1417,2713.9393953647564
3,13,20,1318,2991.263788691025
3,14,19,1231,2990.094493717763
3,15,19,1407,2990.094493717763
3,16,19,1459,2990.094493717763
3,17,19,1402,2990.094493717763
3,18,19,1403,2990.0944937177624
3,19,19,1441,2990.0944937177624
3,20,19,1203,2990.0944937177624
3,21,20,1059,2978.011175520598
3,22,20,1188,2978.011175520598
3,23,20,1141,2978.011175520598
3,24,20,1142,2978.011175520598
3,25,20,1251,2978.011175520598
3,26,20,1253,2978.011175520598
3,27,20,1181,2978.011175520598
3,28,20,1245,2978.011175520598
3,29,20,1319,2978.011175520598
4,0,4,141,2397.826714285715
4,1,9,82,2468.289578025001
4,2,9,133,2468.289578025001
4,3,10,163,2696.3103947385594
4,4,12,327,2697.0181732345764
4,5,9,284,2742.375532387404
4,6,17,333,2951.3568291447073
4,7,20,454,2951.356836349334
4,8,20,664,2951.356836349334
4,9,20,855,2951.356836349334
4,10,15,861,2973.191787545582
4,11,19,1020,2911.583956406741
4,12,15,1227,2784.9906918511097
4,13,14,996,2969.217869030678
4,14,19,1040,2988.265322485104
4,15,19,1302,2988.265322485104
4,16,20,1445,2971.0021969239056
4,17,20,1447,2971.0021969239056
4,18,16,1457,2971.47171681928
4,19,16,1535,2989.168719520626
4,20,16,1314,2989.168719520626
4,21,18,1460,2970.324161711147
4,22,18,1513,2970.324161711147
4,23,17,1776,2989.271306210657
4,24,17,1775,2989.271306210657
4,25,17,1748,2989.271306210657
4,26,17,1838,2989.271306210657
4,27,17,2033,2989.271306210657
4,28,17,1640,2989.271306210657
4,29,17,1815,2989.271306210657
5,0,15,152,0.0
5,1,6,87,2464.878454628572
5,2,13,96,2311.5499755291626
5,3,12,161,2713.939395364756
5,4,14,271,2982.173125686172
5,5,14,164,2982.9862808121457
5,6,20,522,2988.290069426777
5,7,16,753,2988.8920626573517
5,8,16,1168,2990.601411087617
5,9,20,1531,2977.767268530558
5,10,20,1563,2991.4461254485245
5,11,20,1816,2991.4461254485245
5,12,20,1889,2991.4461254485245
5,13,20,1950,2991.4461254485245
5,14,20,1946,2991.4461254485245
5,15,20,2200,2991.4461254485245
5,16,20,1987,2991.4461254485245
5,17,20,2027,2991.4461254485245
5,18,20,1760,2991.4461254485245
5,19,20,1713,2991.4461254485245
5,20,20,1728,2991.4461254485245
5,21,16,1764,2989.2598280150573
5,22,16,1674,2989.2598280150573
5,23,16,1936,2989.2598280150573
5,24,16,1998,2989.2598280150573
5,25,16,1776,2989.2598280150573
5,26,16,1736,2989.2598280150573
5,27,16,1654,2989.2598280150573
5,28,16,1600,2989.2598280150573
5,29,16,1754,2989.2598280150573
6,0,4,127,2359.1164285714294
6,1,3,91,2212.114285714286
6,2,6,78,2464.878454628572
6,3,6,64,2573.2351585714296
6,4,9,94,2732.928701325302
6,5,10,208,2707.170655350235
6,6,10,357,2707.170655350235
6,7,10,542,2707.170655350235
6,8,18,787,2715.4939367838306
6,9,18,781,2715.4939367838306
6,10,12,800,2713.9393953647564
6,11,12,980,2713.9393953647564
6,12,12,1289,2713.9393953647564
6,13,12,1232,2713.9393953647564
6,14,20,1344,2984.5594300325506
6,15,20,1498,2984.5594300325506
6,16,16,1722,2978.8591306843573
6,17,16,1413,2978.8591306843573
6,18,14,1366,2959.6326595214236
6,19,14,1582,2959.6326595214236
6,20,14,1774,2959.6326595214236
6,21,14,1783,2959.6326595214236
6,22,14,1707,2959.6326595214236
6,23,14,1880,2959.6326595214236
6,24,14,1918,2959.6326595214236
6,25,14,2090,2959.6326595214236
6,26,17,2003,2978.0094297174533
6,27,17,1894,2978.0094297174533
6,28,17,1744,2978.0094297174533
6,29,17,2004,2978.0094297174533
7,0,18,94,2092.759576542336
7,1,5,61,0.0
7,2,7,71,2630.4030153896124
7,3,8,79,0.0
