trial,generation,size,runtime,profit
0,0,4,360,2359.1164285714294
0,1,6,143,2573.2351585714296
0,2,6,95,2573.2351585714296
0,3,13,183,2573.7617991060265
0,4,18,234,2714.7185382279663
0,5,18,262,2714.7185382279663
0,6,11,534,2681.662548715953
0,7,11,873,2681.662548715953
0,8,18,792,2715.4939367838306
0,9,15,1161,2713.9866530761733
0,10,16,1146,2856.9761875764734
0,11,16,1109,2856.9761875764734
0,12,16,1168,2857.237240025244
0,13,16,1025,2857.237240025244
0,14,16,1046,2857.237240025244
0,15,16,997,2857.237240025244
0,16,18,1380,2971.3786610783322
0,17,18,1359,2971.3786610783322
0,18,18,1727,2971.3786610783322
0,19,18,1690,2971.3786610783322
0,20,18,1547,2971.3786610783322
0,21,18,1702,2989.45513207844
0,22,19,1801,2989.4829153805076
0,23,18,1701,2989.4817841300264
0,24,18,1912,2991.813752829533
0,25,18,1984,2991.813752829533
0,26,18,2170,2991.813752829533
0,27,18,1672,2991.813752829533
0,28,18,1915,2991.813752829533
0,29,18,1896,2991.813752829533
1,0,4,95,2359.1164285714294
1,1,6,56,2464.878454628572
1,2,9,201,2701.3515101407656
1,3,15,271,2763.1250745848015
1,4,9,462,2701.3515101407656
1,5,9,497,2701.3515101407656
1,6,15,920,2966.827061322191
1,7,15,1162,2966.827061322191
1,8,19,1238,2781.7372226788366
1,9,17,1544,2790.3118637377697
1,10,12,1371,2855.1391940400567
1,11,15,1232,2867.192067663926
1,12,14,1431,2856.5853218599814
1,13,13,1412,2863.7885431940954
1,14,13,1423,2863.7885431940954
1,15,13,1855,2863.7885431940954
1,16,13,1953,2863.7885431940954
1,17,13,2128,2863.7885431940954
1,18,13,2201,2863.7885431940954
1,19,13,2409,2863.7885431940954
1,20,19,2260,2991.284904523575
1,21,20,2495,2991.5310274662615
1,22,20,2128,2991.5310274662615
1,23,20,2274,2991.5310274662615
1,24,16,2331,2990.8460618237937
1,25,16,2215,2990.8460618237937
1,26,16,2512,2990.8460618237937
1,27,16,2584,2990.8460618237937
1,28,20,2285,2992.053538244665
1,29,20,2047,2992.053538244665
2,0,15,81,0.0
3,0,6,72,2466.065039571429
3,1,9,116,2629.3879476167845
3,2,17,383,2852.969386037858
3,3,19,728,2676.965522902825
3,4,19,1124,2676.965522902825
3,5,18,1273,2959.804748399516
3,6,13,1554,2852.0048659045497
3,7,13,1320,2852.0048659045497
3,8,15,979,2867.192067663926
3,9,18,1013,2959.7906604320283
3,10,18,1319,2959.7906604320283
3,11,16,1451,2867.330133134466
3,12,16,1572,2867.330133134466
3,13,17,1493,2979.0718446128967
3,14,17,1358,2979.0718446128967
3,15,17,1156,2979.0718446128967
3,16,16,1065,2978.8591306843573
3,17,16,1138,2978.8591306843573
3,18,16,1194,2978.8591306843573
3,19,16,1012,2978.8591306843573
3,20,16,1187,2978.8591306843573
3,21,16,1588,2978.8591306843573
3,22,16,1576,2978.8591306843573
3,23,16,1394,2978.8591306843573
3,24,16,1406,2978.8591306843573
3,25,16,1208,2978.8591306843573
3,26,16,1195,2978.8591306843573
3,27,16,1113,2978.8591306843573
3,28,16,1139,2978.8591306843573
3,29,16,1178,2978.8591306843573
4,0,4,114,2397.826714285715
4,1,6,46,2432.027524928572
4,2,10,83,2721.8328293614304
4,3,19,145,2697.1604545283935
4,4,18,313,2756.751324445967
4,5,18,401,2756.751324445967
4,6,14,588,2791.5614129585288
4,7,18,1022,2792.7328521636814
4,8,18,1172,2792.7328521636814
4,9,16,1608,2977.9910372788336
4,10,19,1740,2991.306934537059
4,11,19,1549,2991.306934537059
4,12,15,1496,2978.482365385739
4,13,15,1534,2978.482365385739
4,14,15,1930,2978.482365385739
4,15,15,1898,2978.482365385739
4,16,15,1830,2978.482365385739
4,17,15,1885,2978.482365385739
4,18,15,1770,2978.482365385739
4,19,15,1755,2978.482365385739
4,20,15,1840,2978.482365385739
4,21,15,1644,2978.482365385739
4,22,15,1608,2978.482365385739
4,23,15,1680,2978.482365385739
4,24,15,1771,2978.482365385739
4,25,15,1532,2978.482365385739
4,26,15,1926,2978.482365385739
4,27,15,2048,2978.482365385739
4,28,15,1918,2978.482365385739
4,29,15,1743,2978.482365385739
5,0,4,149,2359.1164285714294
5,1,4,51,2397.826714285715
5,2,9,195,2694.466471455248
5,3,9,224,2694.466471455248
5,4,8,396,2468.2286973000005
5,5,10,290,2696.3103947385603
5,6,15,590,2711.3889164222273
5,7,15,614,2711.3889164222273
5,8,15,710,2711.3889164222273
5,9,15,960,2711.3889164222273
5,10,15,1167,2711.3889164222273
5,11,15,1126,2711.3889164222273
5,12,18,1564,2979.089357392258
5,13,16,1503,2959.326830807464
5,14,12,1445,2957.3607362912076
5,15,12,1373,2957.3607362912076
5,16,12,1393,2957.3607362912076
5,17,16,1426,2978.231907866774
5,18,16,1414,2978.231907866774
5,19,14,1601,2976.913591286914
5,20,14,1576,2976.913591286914
5,21,14,1847,2976.913591286914
5,22,14,1752,2976.913591286914
5,23,14,1827,2976.913591286914
5,24,14,1947,2976.913591286914
5,25,14,1755,2976.913591286914
