trial,generation,size,runtime,profit
0,0,20,2083,4289.843912389574
0,1,20,1688,4289.843912389574
0,2,20,1794,4411.408477577489
0,3,20,2298,4513.7675075294355
0,4,16,2846,4559.699577969887
0,5,15,2918,4559.729173316088
0,6,20,2632,4618.484840626547
0,7,20,3020,4759.4310659433295
0,8,20,3072,5084.047886626908
0,9,20,3978,5084.047886626908
0,10,20,5422,5084.047886626908
0,11,20,6484,5084.047886626908
0,12,20,6673,5084.047886626908
0,13,20,8234,5084.047886626908
0,14,20,9282,5090.176165680414
0,15,20,11831,5104.646782784173
0,16,19,13702,5192.313978000004
0,17,19,14693,5192.313978000004
0,18,19,14740,5192.313978000004
0,19,19,15366,5192.313978000004
0,20,19,15034,5192.313978000004
0,21,20,17230,5225.231964000004
0,22,20,17921,5225.231964000004
0,23,20,19437,5225.231964000004
0,24,20,20293,5225.231964000004
0,25,20,20079,5225.231964000004
0,26,20,19893,5225.231964000004
0,27,20,19516,5225.231964000004
0,28,20,19809,5225.231964000004
0,29,20,18375,5225.231964000004
1,0,20,1549,4117.9966030804235
1,1,20,1327,4345.096767438911
1,2,17,1689,4477.950827679336
1,3,20,1904,4521.204593248738
1,4,18,2822,4545.000827679336
1,5,18,2699,4606.960572009888
1,6,20,3033,4646.3157048154935
1,7,17,3520,4802.548041420739
1,8,17,4558,4802.548041420739
1,9,17,5802,4909.860219000004
1,10,20,5713,5119.4175888000045
1,11,20,6638,5119.4175888000045
1,12,20,7082,5146.856344200004
1,13,19,7738,5169.100728000005
1,14,20,7657,5207.501359200005
1,15,20,9873,5207.501359200005
1,16,20,11975,5215.372473000004
1,17,20,12253,5225.231964000005
1,18,20,13023,5225.231964000005
1,19,20,14283,5225.231964000004
1,20,20,12813,5225.231964000004
1,21,20,14420,5225.231964000004
1,22,20,13740,5225.231964000004
1,23,20,13427,5225.231964000004
1,24,20,14254,5225.231964000004
1,25,20,13445,5225.231964000004
1,26,20,14431,5225.231964000004
1,27,20,15327,5225.231964000004
1,28,20,15427,5225.231964000004
1,29,20,15523,5225.231964000004
2,0,20,1538,4117.9966030804235
2,1,20,1446,4289.843912389574
2,2,20,1621,4411.893936301292
2,3,20,1936,4411.893936301292
2,4,17,2312,4722.2699496782725
2,5,17,2373,4832.698799478273
2,6,17,2370,4832.698799478273
2,7,17,3303,4832.698799478273
2,8,18,4341,5009.7361106354465
2,9,18,5265,5009.7361106354465
2,10,20,7293,5024.305322106627
2,11,18,8290,5061.188995615446
2,12,19,9306,5078.3950065000045
2,13,20,9170,5195.288995615447
2,14,20,8973,5195.288995615447
2,15,20,10501,5195.322795912829
2,16,20,12993,5201.033805498004
2,17,20,16147,5201.033805498004
2,18,20,18204,5208.698995615447
2,19,20,19196,5209.045575353646
2,20,20,18310,5215.983723294828
2,21,20,20023,5215.983723294828
2,22,20,20987,5222.397705798004
2,23,20,22114,5223.2806121364965
2,24,20,24116,5231.898003180004
2,25,20,23505,5231.898003180004
2,26,20,23431,5231.898003180004
2,27,20,25133,5231.898003180004
2,28,20,25169,5231.898003180004
2,29,20,26261,5231.898003180004
3,0,20,1600,3487.2801594447205
4,0,16,1605,4076.8967674389114
4,1,17,1607,4292.177738965953
4,2,20,1673,4403.783931473765
4,3,16,1939,4439.054753635714
4,4,17,2210,4601.187502898254
4,5,15,3002,4708.260219000004
4,6,20,3086,4830.194455191213
4,7,15,3727,4842.706282500003
4,8,17,4550,4963.615561200003
4,9,17,6319,4963.615561200003
4,10,19,4024,5002.086911700004
4,11,19,4701,5036.218925700004
