trial,generation,size,runtime,profit
0,0,6,292,2665.380000000001
0,1,11,126,2821.073794270501
0,2,13,151,4019.810968022134
0,3,17,274,4316.542557060002
0,4,13,328,4495.217394841503
0,5,16,500,4677.708729000004
0,6,18,950,4991.9780892000035
0,7,18,1331,4991.9780892000035
0,8,18,1690,4991.9780892000035
0,9,18,2322,4991.9780892000035
0,10,17,3237,5025.549990000003
0,11,18,4658,5071.821735000004
0,12,20,6126,5181.071486430005
0,13,20,7373,5181.071486430005
0,14,19,7476,5192.313978000004
0,15,20,8390,5203.274421000004
0,16,20,9519,5220.855118200004
0,17,20,12063,5220.855118200004
0,18,20,14117,5225.231964000005
0,19,20,15529,5225.231964000005
0,20,20,14291,5225.231964000005
0,21,20,15950,5225.231964000005
0,22,20,17166,5225.231964000005
0,23,20,16669,5225.231964000005
0,24,20,14795,5230.124942700005
0,25,20,16402,5230.124942700005
0,26,20,17288,5230.124942700005
0,27,20,14906,5230.124942700005
0,28,20,15461,5230.124942700005
0,29,20,16809,5230.124942700005
1,0,5,103,2464.9674999999997
1,1,10,77,3068.5800000000017
1,2,16,218,4525.9337712000015
1,3,16,299,4525.9337712000015
1,4,18,535,4697.821747200003
1,5,14,719,4776.210219000004
1,6,14,1240,4776.210219000004
1,7,16,1483,4952.655118200002
1,8,18,1869,4996.533547200003
1,9,20,2397,4985.142501540004
1,10,20,2874,5004.040917000003
1,11,20,3941,5004.040917000003
1,12,20,4045,5004.040917000003
1,13,18,4220,5061.219330198002
1,14,18,4270,5061.219330198002
1,15,20,5346,5113.044439698003
1,16,20,5912,5127.6565158391695
1,17,20,6151,5126.935063106104
1,18,20,6175,5130.633547200004
1,19,20,6729,5130.633547200004
1,20,20,6878,5130.633547200004
1,21,20,6681,5127.6565158391695
1,22,19,6901,5158.181964000004
1,23,19,7777,5158.181964000004
1,24,20,7272,5171.353686300004
1,25,20,7852,5171.353686300004
1,26,20,7700,5201.752370132002
1,27,20,7334,5213.049934998005
1,28,20,7795,5213.049934998005
1,29,20,8255,5225.231964000005
2,0,8,121,2619.3225570600007
2,1,12,121,4259.575345800003
2,2,18,178,4415.443569835502
2,3,14,220,4414.705341108603
2,4,20,395,4598.589843970502
2,5,18,762,4996.533547200003
2,6,18,1208,4996.533547200003
2,7,18,1430,4996.533547200003
2,8,18,1853,5000.345289468002
2,9,18,2227,5073.401359200005
2,10,20,3087,5079.910533060003
2,11,20,4309,5079.910533060003
2,12,20,5017,5133.854228340004
2,13,20,5811,5185.365204000005
2,14,20,6752,5185.365204000005
2,15,20,7801,5185.365204000005
2,16,20,7781,5185.365204000005
2,17,20,7719,5185.365204000005
2,18,20,7946,5185.365204000005
2,19,20,9165,5185.365204000005
2,20,20,10107,5207.501359200004
2,21,20,11302,5225.231964000004
2,22,20,11006,5225.231964000004
2,23,20,12181,5225.231964000004
2,24,20,12699,5225.231964000004
2,25,20,12174,5225.231964000004
2,26,20,12343,5225.231964000004
2,27,20,12401,5225.231964000004
2,28,20,12919,5225.231964000004
2,29,20,12754,5225.231964000004
3,0,9,83,4214.730000000002
3,1,19,107,4549.993569835503
3,2,17,246,4549.667902860003
3,3,15,631,4608.2547237000035
3,4,15,1294,4804.751359200003
3,5,16,1611,4939.301359200003
