trial,generation,size,runtime,profit
0,0,19,2287,4970.492076900005
0,1,19,2309,4970.492076900005
0,2,20,2941,4976.897061900003
0,3,20,3743,4999.033217100003
0,4,19,5141,5034.550728000004
0,5,20,6398,5063.091868200004
0,6,20,6667,5169.100728000005
0,7,20,7544,5174.562621000003
0,8,20,9482,5202.018714000004
0,9,20,11585,5225.231964000004
0,10,20,13322,5220.855118200004
0,11,20,15222,5225.231964000004
0,12,20,16533,5225.231964000004
0,13,20,16850,5225.231964000004
0,14,20,17975,5225.231964000004
0,15,20,18812,5225.231964000004
0,16,20,18900,5225.231964000004
0,17,20,18361,5225.231964000004
0,18,20,19227,5225.231964000004
0,19,20,19655,5225.231964000004
0,20,20,17612,5225.231964000004
0,21,20,20244,5225.231964000004
0,22,20,18399,5225.231964000004
0,23,20,18697,5225.231964000004
0,24,20,20414,5225.231964000004
0,25,20,19049,5225.231964000004
0,26,20,18592,5225.231964000004
0,27,20,18383,5225.231964000004
0,28,20,19434,5225.231964000004
0,29,20,20314,5225.231964000004
1,0,15,2174,4910.760219000003
1,1,19,2572,4918.467975524402
1,2,17,2688,4945.7063442000035
1,3,18,3261,4991.978089200003
1,4,20,4749,5207.501359200004
1,5,20,5707,5207.501359200004
1,6,20,5927,5207.501359200004
1,7,20,8171,5215.372473000003
1,8,20,9799,5215.372473000003
1,9,20,10968,5220.855118200005
1,10,20,13034,5220.855118200005
1,11,20,15697,5225.231964000004
1,12,20,16303,5225.231964000004
1,13,20,16414,5225.231964000004
1,14,20,17023,5225.231964000003
1,15,20,18337,5225.231964000003
1,16,20,16509,5225.231964000003
1,17,20,15899,5225.231964000003
1,18,20,17036,5225.231964000004
1,19,20,17532,5225.231964000004
1,20,20,16493,5225.231964000004
1,21,20,16935,5225.231964000004
1,22,20,17357,5225.231964000004
1,23,20,16150,5225.231964000004
1,24,20,16114,5225.231964000004
1,25,20,16118,5225.231964000004
1,26,20,17221,5225.231964000003
1,27,20,16734,5225.231964000003
1,28,20,17664,5225.231964000003
1,29,20,16189,5225.231964000003
2,0,19,1879,4970.492076900005
2,1,19,2152,4970.492076900005
2,2,20,2736,4999.033217100003
2,3,19,3841,5002.9385322000035
2,4,20,5007,5008.491896700004
2,5,17,7378,5019.705118200004
2,6,19,7970,5041.447392000004
2,7,20,7589,5069.136911700004
2,8,20,7992,5069.988532200003
2,9,20,9713,5069.988532200003
2,10,18,9198,5086.755118200004
2,11,20,9237,5180.136737700003
2,12,20,9555,5180.136737700003
2,13,20,9647,5220.855118200003
2,14,20,11328,5220.855118200003
2,15,20,11067,5220.855118200003
2,16,20,11477,5220.855118200003
2,17,20,13356,5220.855118200003
2,18,20,14542,5220.855118200003
2,19,20,15319,5225.231964000003
2,20,20,14972,5225.231964000003
2,21,20,15837,5225.231964000003
2,22,20,15405,5225.231964000003
2,23,20,16749,5225.231964000003
2,24,20,15064,5225.231964000003
2,25,20,15321,5225.231964000003
2,26,20,16190,5225.231964000003
2,27,20,18401,5225.231964000003
2,28,20,14656,5225.231964000003
2,29,20,17358,5225.231964000003
3,0,19,2432,4970.492076900005
3,1,16,2233,4939.3013592000025
3,2,20,2844,4999.033217100003
3,3,20,3394,5008.491896700004
3,4,20,4840,5207.501359200004
3,5,20,7583,5207.501359200004
3,6,20,8037,5207.501359200004
3,7,20,8052,5225.231964000003
3,8,20,9659,5225.231964000003
3,9,20,10155,5225.231964000003
3,10,20,11003,5220.855118200005
3,11,20,11741,5220.855118200005
3,12,20,13395,5220.855118200005
3,13,20,12745,5220.855118200005
3,14,20,12834,5225.231964000005
3,15,20,12643,5225.231964000005
3,16,20,11375,5225.231964000005
3,17,20,11628,5225.231964000005
3,18,20,12273,5225.231964000005
3,19,20,12516,5225.231964000005
3,20,20,13512,5225.231964000004
3,21,20,13876,5225.231964000004
3,22,20,13137,5225.231964000004
3,23,20,14126,5225.231964000004
3,24,20,13340,5225.231964000004
3,25,20,13348,5225.231964000004
3,26,20,12967,5225.231964000004
3,27,20,14893,5225.231964000004
3,28,20,12661,5225.231964000004
3,29,20,13052,5225.231964000004
4,0,19,2077,5178.960219000004
4,1,20,2392,5207.501359200004
4,2,20,3237,5207.501359200004
4,3,20,3554,5215.372473000003
4,4,20,6720,5215.372473000003
