trial,generation,size,runtime,profit
0,0,19,2138,2329.2654115013984
0,1,19,1785,2329.2654115013984
0,2,14,1107,2334.5675793072755
0,3,14,826,2336.5038072083566
0,4,14,743,2336.5038072083566
0,5,14,703,2336.5038072083566
0,6,14,634,2336.5038072083566
0,7,14,644,2336.5038072083566
0,8,16,622,2336.8594122265417
0,9,16,684,2336.8594122265417
0,10,16,634,2336.8594122265417
0,11,16,698,2336.8594122265417
0,12,16,673,2336.8594122265417
0,13,16,727,2336.8594122265417
0,14,16,816,2336.8594122265417
0,15,16,816,2336.8594122265417
0,16,16,851,2336.8594122265417
0,17,16,690,2336.8594122265417
0,18,16,725,2336.8594122265417
0,19,16,782,2336.8594122265417
0,20,16,931,2336.8594122265417
0,21,16,812,2336.8594122265417
0,22,16,877,2336.8594122265417
0,23,16,919,2336.8594122265417
0,24,16,949,2336.8594122265417
0,25,16,702,2336.8594122265417
0,26,16,717,2336.8594122265417
0,27,16,809,2336.8594122265417
0,28,16,689,2336.8594122265417
0,29,16,795,2336.8594122265417
1,0,13,2615,2328.8850167961564
1,1,17,1927,2329.2824742834205
1,2,15,1149,2329.2567900102426
1,3,12,687,2334.3065741645687
1,4,14,674,2336.5038072083566
1,5,14,679,2336.5038072083566
1,6,18,687,2336.8620441705198
1,7,18,726,2336.8620441705198
1,8,15,791,2336.8354854631043
1,9,17,644,2336.8618049028855
1,10,17,793,2336.8618049028855
1,11,16,753,2336.8594122265417
1,12,16,693,2336.8594122265417
1,13,16,617,2336.8594122265417
1,14,16,764,2336.8594122265417
1,15,16,724,2336.8594122265417
1,16,16,751,2336.8594122265417
1,17,16,630,2336.8594122265417
1,18,16,702,2336.8594122265417
1,19,16,670,2336.8594122265417
1,20,16,605,2336.8594122265417
1,21,16,636,2336.8594122265417
1,22,16,690,2336.8594122265417
1,23,16,720,2336.8594122265417
1,24,16,692,2336.8594122265417
1,25,16,677,2336.8594122265417
1,26,16,762,2336.8594122265417
1,27,16,767,2336.8594122265417
1,28,16,829,2336.8594122265417
1,29,16,760,2336.8594122265417
2,0,12,1877,2326.9839163074507
2,1,14,1538,2329.2065268146566
2,2,13,920,2336.26483104791
2,3,13,648,2336.26483104791
2,4,13,515,2336.26483104791
2,5,13,609,2336.26483104791
2,6,18,625,2336.8597338937416
2,7,18,620,2336.8597338937416
2,8,18,640,2336.8597338937416
2,9,17,681,2336.861804902885
2,10,17,602,2336.911292924095
2,11,17,622,2336.911292924095
2,12,17,665,2336.911292924095
2,13,17,593,2336.911292924095
2,14,17,583,2336.911292924095
2,15,17,685,2336.911292924095
2,16,17,739,2336.911292924095
2,17,17,730,2336.911292924095
2,18,17,677,2336.911292924095
2,19,17,727,2336.911292924095
2,20,17,737,2336.911292924095
2,21,17,673,2336.911292924095
2,22,17,830,2336.911292924095
2,23,17,812,2336.911292924095
2,24,17,729,2336.911292924095
2,25,17,756,2336.911292924095
2,26,17,735,2336.911292924095
2,27,17,811,2336.911292924095
2,28,17,702,2336.911292924095
2,29,17,771,2336.911292924095
3,0,12,2199,2326.9839163074507
3,1,15,1331,2334.546870020701
3,2,14,820,2336.5038072083566
3,3,18,714,2342.9933652717236
3,4,18,628,2342.9933652717236
3,5,18,776,2342.9933652717236
3,6,18,747,2342.9933652717236
3,7,18,705,2342.9933652717236
3,8,18,614,2342.9933652717236
3,9,18,774,2345.3947955857
3,10,18,764,2345.3947955857
3,11,18,789,2345.3947955857
3,12,18,813,2345.3947955857
3,13,18,776,2345.3947955857
3,14,18,696,2345.3947955857
3,15,18,696,2345.3947955857
3,16,18,718,2345.3947955857
3,17,18,676,2345.3947955857
3,18,18,719,2345.3947955857
3,19,18,735,2345.3947955857
3,20,18,849,2345.3947955857
3,21,18,769,2345.3947955857
3,22,18,722,2345.3947955857
3,23,18,871,2345.3947955857
3,24,18,870,2345.3947955857
3,25,18,688,2345.3947955857
3,26,18,718,2345.3947955857
3,27,18,747,2345.3947955857
3,28,18,790,2345.3947955857
3,29,18,758,2345.3947955857
4,0,15,2221,2316.951169004622
4,1,16,1666,2329.2065268146566
4,2,14,1123,2336.5038072083566
4,3,14,912,2336.5038072083566
4,4,14,749,2336.5038072083566
4,5,17,598,2336.5301777639966
4,6,17,626,2336.8602440001573
4,7,17,627,2336.8602440001573
4,8,16,745,2336.8873615587513
4,9,16,703,2336.8873615587513
4,10,16,582,2336.8873615587513
4,11,16,648,2336.8873615587513
4,12,16,586,2336.8873615587513
4,13,16,659,2336.8873615587513
4,14,16,651,2336.8873615587513
4,15,16,672,2336.887361558751
4,16,16,693,2336.887361558751
4,17,16,703,2336.887361558751
4,18,17,721,2336.911292924094
4,19,17,762,2336.911292924094
4,20,17,721,2336.911292924094
4,21,17,664,2336.911292924094
4,22,17,664,2336.911292924094
4,23,17,761,2336.911292924094
4,24,17,641,2336.911292924094
4,25,17,687,2336.911292924094
