trial,generation,size,runtime,profit
0,0,15,2022,9175.860219000007
0,1,16,2263,9314.830209000007
0,2,18,2779,9349.776334200007
0,3,18,3867,10388.160219000009
0,4,19,6718,10898.312223000003
0,5,20,8967,10931.230209000003
0,6,19,10578,11183.327976000006
0,7,20,14408,11322.297966000006
0,8,20,15455,11693.479980000007
0,9,20,17219,11693.479980000007
0,10,20,20847,11693.479980000007
0,11,20,20453,11851.149990000007
0,12,20,21010,11851.149990000007
0,13,20,20651,11900.460000000008
0,14,20,20477,11900.460000000008
0,15,20,23551,11904.879990000009
0,16,20,23340,11904.879990000009
0,17,20,21724,11904.879990000009
0,18,20,21334,12116.280000000006
0,19,20,21959,12116.280000000006
0,20,20,23047,12116.280000000006
0,21,20,23223,12116.280000000006
0,22,20,23425,12116.280000000006
0,23,20,23502,12116.280000000006
0,24,20,23531,12116.280000000006
0,25,20,22565,12116.28000000001
0,26,20,23605,12116.28000000001
0,27,20,24758,12116.28000000001
0,28,20,25319,12116.280000000006
0,29,20,23299,12116.280000000006
1,0,15,1947,9175.860219000007
1,1,15,2108,9459.467976000002
1,2,15,2846,9459.467976000002
1,3,17,4201,9714.510219000005
1,4,20,5828,10533.535194000006
1,5,20,6917,10931.230209000008
1,6,20,7829,10931.230209000008
1,7,20,10067,10931.230209000008
1,8,20,12947,11639.749980000008
1,9,20,15189,11639.749980000008
1,10,20,16591,11743.689990000006
1,11,20,17972,11904.879990000007
1,12,20,19438,11901.360000000006
1,13,20,20738,11955.090000000011
1,14,20,22135,11955.090000000011
1,15,20,23189,11955.090000000011
1,16,20,23786,12008.82000000001
1,17,20,22231,12116.280000000006
1,18,20,20322,12116.280000000008
1,19,20,24403,12116.280000000008
1,20,20,23852,12116.280000000008
1,21,20,23602,12116.280000000008
1,22,20,25020,12116.280000000006
1,23,20,23496,12116.280000000006
1,24,20,24279,12116.280000000006
1,25,20,24371,12116.280000000006
1,26,20,25636,12116.28000000001
1,27,20,24303,12116.28000000001
1,28,20,24186,12116.28000000001
1,29,20,25309,12116.28000000001
2,0,15,1635,9175.860219000007
2,1,17,2241,9343.371349200008
2,2,17,2998,9478.905204000006
2,3,20,4916,10261.064723700008
2,4,20,6796,10697.83246200001
2,5,19,8922,10860.947976000009
2,6,20,12516,11901.36000000001
2,7,20,14393,11901.36000000001
2,8,20,16650,11901.36000000001
2,9,20,16109,11901.36000000001
2,10,20,17539,11901.360000000006
2,11,20,19499,11901.360000000006
2,12,20,20567,11901.360000000006
2,13,20,20706,11901.360000000006
2,14,20,21101,11901.360000000006
2,15,20,22042,11901.360000000006
2,16,20,23953,11955.090000000015
2,17,20,25275,11955.090000000015
2,18,20,21455,11955.090000000015
2,19,20,20698,11955.090000000015
2,20,20,21436,11955.090000000015
2,21,20,21938,12062.550000000007
2,22,20,23267,12062.550000000007
2,23,20,22511,12062.550000000007
2,24,20,21752,12062.550000000007
2,25,20,22006,12116.280000000006
2,26,20,24982,12116.280000000006
2,27,20,25040,12116.280000000006
2,28,20,26304,12116.280000000006
2,29,20,27471,12116.280000000006
3,0,19,1935,9355.255564800005
